"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","device","early_stopping","epochs","experiment_name","gradient_accumulation_steps","label_smoothing","learning_rate","max_grad_norm","mixed_precision","monitor_metric","monitor_mode","n_folds","num_classes","num_workers","optimizer","output_dir","patience","save_best","save_every","scheduler","seed","warmup_epochs","weight_decay","best_accuracy","best_auc","best_epoch","best_f1","epoch","epoch_time_s","final/MCC","final/accuracy","final/auc_roc","final/balanced_accuracy","final/best_epoch","final/cohens_kappa","final/f1_macro","final/f1_weighted","final/precision_macro","final/recall_macro","final/sensitivity","final/specificity","lr","train/acc","train/loss","val/acc","val/auc","val/f1","val/loss","val/precision","val/recall","val/specificity"
"fusion_c_fold0","running","-","","","2026-03-22T07:10:30.000Z","1729","","128","auto","true","50","fusion_c","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","3","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fusion_a_fold0","running","-","","","2026-03-22T04:21:41.000Z","11851","","128","auto","true","50","fusion_a","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","3","0.0001","","","","","30","284.2608528137207","","","","","","","","","","","","","0.00041662319277321446","95.37884847254884","0.06649944218629189","81.07937961426201","0.9178805066320026","0.6609426069078743","1.8652355906954647","0.6349020954447655","0.7059414779380585","0.9395966361341662"
"quantum_full_RXY_fold0","finished","-","","","2026-03-22T03:17:08.000Z","3870","","128","auto","true","50","quantum_full_RXY","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","3","0.0001","0.7379385337377669","0.939817621380426","18","0.6233402188513004","28","134.49222707748413","0.6188808171247611","0.7379385337377669","0.939817621380426","0.7658523741074904","18","0.5987997670087288","0.6233402188513004","0.7678116232567523","0.5913347695172002","0.7658523741074904","0.7658523741074904","0.935944755920882","0.00048304656110863297","77.81465254813948","0.4507232128663827","73.03840210610656","0.9416890433309916","0.616616508762859","0.7018875978941465","0.5922583295094288","0.7680218734505373","0.9360000520070326"
"quantum_ring_RXY_fold0","finished","-","","","2026-03-22T02:08:25.000Z","4122","","128","auto","true","50","quantum_ring_RXY","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","3","0.0001","0.7505293881989356","0.9435430359139962","32","0.6349045719729881","42","96.51540970802309","0.6314409901543547","0.7505293881989356","0.9435430359139962","0.7626839115953294","32","0.6132975247236987","0.6349045719729881","0.782466897678413","0.6100160574688127","0.7626839115953294","0.7626839115953294","0.9391901345303768","0.00008773454847042832","81.69804338223882","0.342912035884748","73.76523779545585","0.94031426073741","0.6215104555075649","0.7945444285869598","0.5837029882249414","0.7629663713504028","0.9383123927721544"
"fusion_b_fold0","finished","-","","","2026-03-22T00:38:58.000Z","19583","","128","auto","true","50","fusion_b","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","3","0.0001","0.8243575802666971","0.934937301249784","22","0.6792140793105468","32","729.7694461345673","0.6968285184385108","0.8243575802666971","0.934937301249784","0.7138268438861971","22","0.6960620977705334","0.6792140793105468","0.829543714517827","0.6581399530907561","0.7138268438861971","0.7138268438861971","0.942454093374914","0.00035168314481949503","99.95224849881218","0.0009216497809526632","82.01797058318549","0.9262018116988736","0.6589808084556265","2.7482623070695973","0.6451166212629362","0.6975002336741497","0.939984128591129"
"convnext_fold0","finished","-","","","2026-03-21T22:26:11.000Z","13332","","128","auto","true","50","convnext","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","3","0.0001","0.8049562181651692","0.9366928813198272","31","0.6580364512955367","41","250.01308679580688","0.6703536654812348","0.8049562181651692","0.9366928813198272","0.7099437200839134","31","0.6682910316829054","0.6580364512955367","0.8115902297705577","0.6315802123716624","0.7099437200839134","0.7099437200839134","0.9389251795961802","0.00010754554893453178","98.40987501044565","0.025295496127347796","79.28804441137756","0.9068677907034342","0.6324165412615692","4.173382133136701","0.6198429242851773","0.665354187906172","0.9283866800012712"
"swin_fold0","finished","-","","","2026-03-21T21:10:17.000Z","4550","","128","auto","true","50","swin","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","3","0.0001","0.7064613975848452","0.9281036326070232","3","0.5998082950740369","13","431.60189294815063","0.5741258501019406","0.7064613975848452","0.9281036326070232","0.6936717847384326","3","0.5510540007107871","0.5998082950740369","0.7350730140733936","0.5802492304654379","0.6936717847384326","0.6936717847384326","0.9264029917539672","0.0009117565456771546","16.548282736638534","1.6112587490154586","17.741658558919475","0.5468102236600871","0.060273173577018425","1.606698947231265","0.035483317117838954","0.2","0.8"
"fusion_a_fold0","finished","-","","","2026-03-21T20:34:01.000Z","14686","","128","auto","true","50","fusion_a","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","3","0.0001","0.8078750071538946","0.9470230934083066","11","0.6843286163065712","21","775.5136976242065","0.6946232626334298","0.8078750071538946","0.9470230934083066","0.7633599059153042","11","0.6866746204078362","0.6843286163065712","0.8273293706532602","0.6528466987090518","0.7633599059153042","0.7633599059153042","0.9487345234967408","0.0007101058202059161","97.99443695011162","0.03257198842164157","81.80049218794711","0.9292711322054488","0.6666436894180189","1.7363814951947136","0.6462351655485035","0.6946747258128074","0.9443831264085226"
"snn_1d_attn_fold0","finished","-","","","2026-03-21T19:52:37.000Z","4654","","128","auto","true","50","snn_1d_attn","4","0","0.0003","5","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","10","0.0001","0.7575688204658616","0.9334544098931036","23","0.6375540066393169","33","215.70241498947144","0.6249351281216404","0.7575688204658616","0.9334544098931036","0.7376032756389759","23","0.6135896952223521","0.6375540066393169","0.7827103590005773","0.6086104972537011","0.7376032756389759","0.7376032756389759","0.9350322986383696","0.00012651551194927166","81.88904938699011","0.34852997132840047","73.73089910147084","0.9314878327083872","0.6185533949734509","0.8000541651335946","0.5926472516340466","0.7355887027115076","0.9325116719802272"
"snn_1d_lif_fold0","finished","-","","","2026-03-21T18:25:40.000Z","4153","","128","auto","true","50","snn_1d_lif","4","0","0.0003","5","true","val_f1","max","5","5","4","adamw","outputs/paper_runs","10","true","0","cosine","42","10","0.0001","0.7372517598580667","0.9310522384361436","35","0.6156191246621976","45","87.60509872436523","0.5929111221951909","0.7372517598580667","0.9310522384361436","0.7107416590199163","35","0.5806698493751496","0.6156191246621976","0.7702053029882838","0.6069728830613894","0.7107416590199163","0.7107416590199163","0.928936415841766","0.000016346525337947608","81.9714207265391","0.3596882430424217","71.04675785497625","0.927897844025354","0.6000221775234957","0.78702996888735","0.5748382699517253","0.7298241176296385","0.9294381185890762"
