"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","device","early_stopping","epochs","experiment_name","gradient_accumulation_steps","label_smoothing","learning_rate","max_grad_norm","mixed_precision","monitor_metric","monitor_mode","n_folds","num_classes","num_workers","optimizer","output_dir","patience","save_best","save_every","scheduler","seed","warmup_epochs","weight_decay","best_accuracy","best_auc","best_epoch","best_f1","epoch","epoch_time_s","final/MCC","final/accuracy","final/auc_roc","final/balanced_accuracy","final/best_epoch","final/cohens_kappa","final/f1_macro","final/f1_weighted","final/precision_macro","final/recall_macro","final/sensitivity","final/specificity","lr","train/acc","val/acc","train/loss","val/auc","val/f1","val/loss","val/precision","val/recall","val/specificity"
"snn_fusion_late_fold0","crashed","-","","","2026-03-20T20:23:59.000Z","1263","","128","auto","true","50","snn_fusion_late","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","","","","","1","985.6901183128356","","","","","","","","","","","","","0.000332824427480916","17.099812575357838","10.181422766554112","1.5796829258212606","0.5846952495162123","0.09890611406581584","1.6511135806132409","0.10453603006486292","0.32481247146265707","0.807821417420038"
"snn_fusion_early_fold0","finished","-","","","2026-03-20T19:56:52.000Z","1625","","128","auto","true","50","snn_fusion_early","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"spiking_vit_1d_fold0","finished","-","","","2026-03-20T16:08:26.000Z","1033","","128","auto","true","50","spiking_vit_1d","4","0","0.0003","5","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","10","0.0001","0.204200766897499","0.5385903208093245","5","0.12466315505870253","15","68.24728012084961","0.08249101383934344","0.204200766897499","0.5385903208093245","0.24872090235396688","5","0.04252410050512612","0.12466315505870253","0.09747817364302952","0.09000784748913591","0.24872090235396688","0.24872090235396688","0.8082931177299155","0.0002926137967606937","19.077918512063224","10.942597149888398","1.5757376627157662","0.5241804653385354","0.10450009264534774","1.612770264166115","0.0926647169815931","0.21761377908749505","0.8028154677968337"
"snn_1d_attn_fold0","finished","-","","","2026-03-20T14:13:38.000Z","5795","","128","auto","true","50","snn_1d_attn","4","0","0.0003","5","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","10","0.0001","0.46683454472614894","0.7654378328329914","25","0.37657994559317104","35","164.60976767539978","0.2625385298216887","0.46683454472614894","0.7654378328329914","0.4540619059387994","25","0.24296740539397443","0.37657994559317104","0.5167252899526467","0.3758086042376758","0.4540619059387994","0.4540619059387994","0.8634379817676405","0.00010363162680546112","67.76415533563336","44.74904137812625","0.7320199666587451","0.7664051978293873","0.357964403009411","1.4695249352141888","0.36230731965186175","0.480884243829182","0.8629345265511317"
"snn_1d_lif_fold0","finished","-","","","2026-03-20T12:09:55.000Z","6280","","128","auto","true","50","snn_1d_lif","4","0","0.0003","5","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","10","0.0001","0.4274022778000343","0.7289998309758916","38","0.3197875708983385","48","130.00343918800354","0.2285498072818581","0.4274022778000343","0.7289998309758916","0.41102785708921746","38","0.2080915751664265","0.3197875708983385","0.4759754221480723","0.33280136441732483","0.41102785708921746","0.41102785708921746","0.854362499275142","0.0000041438791904339565","67.01445676698461","42.12213128827334","0.7442692058686992","0.7325038460547123","0.3128342769818889","1.6373056704110474","0.3285749038236342","0.40529760344070986","0.8539064848683413"
"snn_qif_vit_fold0","finished","-","","","2026-03-20T01:52:52.000Z","33827","","128","auto","true","50","snn_qif_vit","4","0","0.0003","5","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","10","0.0001","0.5428375207462943","0.8184675250805367","50","0.447927106106778","50","811.9266455173492","0.3532800632658859","0.5428375207462943","0.8184675250805367","0.5747322180020457","50","0.33148141652788154","0.447927106106778","0.5752059158535833","0.44125095519126367","0.5747322180020457","0.5747322180020457","0.8757529162506827","4.623293446201134e-7","54.71486384853224","54.117781720368576","1.0067602499750734","0.8181571350543072","0.44806893385020496","1.1177164172604137","0.4419750675853494","0.5761141290065497","0.8749367762539173"
"snn_lif_vit_fold0","finished","-","","","2026-03-19T16:38:46.000Z","33243","","128","auto","true","50","snn_lif_vit","4","0","0.0003","5","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","10","0.0001","0.6763005780346821","0.9027990294388064","38","0.5643739829362888","48","758.7939851284027","0.5295177532625951","0.6763005780346821","0.9027990294388064","0.6764891874424721","38","0.5065959590902456","0.5643739829362888","0.6977353448526845","0.5354547567892878","0.6764891874424721","0.6764891874424721","0.9152484365306184","0.0000041438791904339565","71.32283596165554","65.45527385108453","0.5952586395139913","0.905714798081512","0.5513566299159794","0.8626076783577021","0.5325993353808853","0.6902293803625239","0.913685121608774"
"snn_qif_resnet_fold0","finished","-","","","2026-03-19T13:50:26.000Z","10097","","128","auto","true","50","snn_qif_resnet","4","0","0.0003","5","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","10","0.0001","0.6190694213930064","0.5","1","0.15294450335807705","11","974.2731323242188","0","0.6190694213930064","0.5","0.2","1","0","0.15294450335807705","0.4734163259956274","0.12381388427860128","0.2","0.2","0.8","0.0002999541984732824","44.46739169362637","13.552337892748811","1.6094652461641616","0.5","0.047739529257597904","1.607379171970117","0.027104675785497623","0.2","0.8"
"snn_lif_resnet_fold0","finished","-","","","2026-03-19T07:58:54.000Z","21090","","128","auto","true","50","snn_lif_resnet","4","0","0.0003","5","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","10","0.0001","0.6974188748354604","0.9125321732909109","21","0.5762428111045834","31","931.0324983596802","0.5445087405693744","0.6974188748354604","0.9125321732909109","0.7033330346606704","21","0.5299883910686423","0.5762428111045834","0.7238745489187858","0.5462141258008881","0.7033330346606704","0.7033330346606704","0.9192046113262932","0.0001499770992366412","73.30810462353911","62.65667029130658","0.5443559121539574","0.9131950248111248","0.5491111634019359","0.8085911658993603","0.5381253916180756","0.7065529697859438","0.9109529101915024"
"snn_lif_vit_fold0","crashed","-","","","2026-03-18T17:51:55.000Z","10218","","128","auto","true","30","snn_lif_vit","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","","","","","13","641.0163972377777","","","","","","","","","","","","","0.0007496183206106869","75.64792818174222","35.61494877811481","0.515169778898472","0.8686933656738518","0.3270469788947089","1.2891894712717864","0.5961449627500566","0.4145677207868631","0.8577837260698074"
