epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_precision,val_recall,val_specificity,val_sensitivity,lr
0,1.3057673347815302,59.382573089641504,1.067639756376726,69.35843873404681,0.2993930725221759,0.8449553631108655,0.26349702868342345,0.34664556104130384,0.8595100064770962,0.34664556104130384,0.000332824427480916
1,0.9029950258386044,70.71161674645147,0.83983106204193,69.32982315572598,0.3122575312118392,0.8235052249522198,0.3083409744821508,0.33417839949935113,0.8545741286192697,0.33417839949935113,0.0006661577608142494
2,0.6876657211143552,74.34669977437416,0.6463428670472472,75.73971269959367,0.4277436451345644,0.9037692096104077,0.4298966513014416,0.4393265760593995,0.897953572626071,0.4393265760593995,0.0009994910941475827
3,0.5910268077413544,77.07092291713921,0.6748091408806126,75.70537400560865,0.5517162961796278,0.8937352698254291,0.5387660481235569,0.5723461135487681,0.9064568361396729,0.5723461135487681,0.0009994910941475827
4,0.5534163150623554,78.53092506595677,0.5770475565299501,76.32919361300293,0.5719908680885951,0.9260301122981118,0.5744111178429726,0.5909797210847059,0.9246722339346082,0.5909797210847059,0.0009961119935382127
5,0.5287061586179806,79.702030632588,0.5807496912940575,77.16476849997139,0.579515016013784,0.9202380670436108,0.5299119803700056,0.6708042036208132,0.9325112862827133,0.6708042036208132,0.0009860203882490518
6,0.5054138598551277,80.66899853164134,0.5465601576070716,78.60127053167744,0.5128554748264598,0.9282557894522064,0.6411631027984035,0.48581429275412935,0.9033014243706925,0.48581429275412935,0.0009693527499296499
7,0.4931132087270722,81.13576945575227,0.515516927860079,79.92903336576433,0.5980914944915768,0.9340496681241536,0.574900159205167,0.6252877162688157,0.9297433427840109,0.6252877162688157,0.0009463344797952117
8,0.47710621975760426,81.78041472178782,0.4902269304016211,81.22818062153037,0.6023790031029215,0.9374856858160205,0.6540165520196759,0.6235850083533995,0.9345858506574206,0.6235850083533995,0.0009172768604618339
9,0.46645518090888743,82.19585278212183,0.5169191421927327,78.57837806902077,0.5709084838274548,0.9327080524553895,0.5874109492820241,0.5636420561337279,0.9100365752902174,0.5636420561337279,0.0008825728463831227
10,0.4587551071898628,82.4417730132391,0.5100398333403315,79.68866250786928,0.592766436952147,0.9357269074906636,0.566200641066519,0.6474638225158502,0.9256752119853353,0.6474638225158502,0.0008426917498153162
11,0.4510930471747886,82.73663853307389,0.47476856252790367,81.5028901734104,0.611402806989465,0.9419254452853,0.5828979578196071,0.645931368293491,0.9379909980466019,0.645931368293491,0.000798172894174115
12,0.4394797906620812,83.21654112001146,0.508664608817466,79.986264522406,0.5693619698009607,0.9410813896299052,0.6140213926444835,0.5549312043523077,0.9145101223026588,0.5549312043523077,0.0007496183206106869
13,0.43125559728564195,83.55915814103406,0.542794707917819,77.09609111200137,0.5604719547227948,0.935285278873055,0.5611080922871038,0.6267605292204056,0.9097219576945523,0.6267605292204056,0.000697684646437889
14,0.43036531965241176,83.58422767915766,0.46291309007762993,81.77187660962628,0.6064667426980197,0.9456691542346093,0.7964255475435145,0.6211465240764786,0.9366746017165924,0.6211465240764786,0.000643074185507527
15,0.41740784403932,84.1023314670455,0.44308136175148677,82.88788416413895,0.6116324862711172,0.9474419063063081,0.614401396357912,0.6150338980203739,0.9367729774547635,0.6150338980203739,0.0005865254506203184
16,0.4059422257747359,84.51657573984983,0.44917310921162584,82.7047444628856,0.6054405288237878,0.947865188688467,0.6799281682695091,0.6030219198542223,0.932636260221674,0.6030219198542223,0.000528803166407169
