epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_precision,val_recall,val_specificity,val_sensitivity,lr
0,0.6717845665134546,74.4684661024031,0.521008729227703,80.63297659245693,0.5031561991324868,0.9383394586968729,0.6942546004753172,0.49213157976978816,0.9161346640102745,0.49213157976978816,0.000332824427480916
1,0.4755197973196743,81.63835400575405,0.47688371106220856,81.49144394208207,0.6236916549332826,0.9455909848038407,0.6891838654405691,0.6743865945877496,0.9454970643013422,0.6743865945877496,0.0006661577608142494
2,0.4366492970071676,83.03866677808684,0.4613942024264022,81.91495450123047,0.5968331192178782,0.9469825556480144,0.6942631270294838,0.5739162765876239,0.9348619399530229,0.5739162765876239,0.0009994910941475827
3,0.39900802323836404,84.57865269139398,0.4081649889584875,84.33583242717336,0.6528141419850706,0.9536109029472657,0.6792125590013451,0.6578535935024179,0.9470494803345184,0.6578535935024179,0.0009994910941475827
4,0.37377550770308227,85.51577590220492,0.4243183702121686,84.27860127053167,0.643956617591652,0.9566905197761602,0.682553953682495,0.6874347489607168,0.9488875223153876,0.6874347489607168,0.0009961119935382127
5,0.34967599750020123,86.4457363878377,0.42754559017663457,83.5689349281749,0.6728949267027866,0.957575966327831,0.6662118748349063,0.7147789543375707,0.9466457263657772,0.7147789543375707,0.0009860203882490518
6,0.3249766981783714,87.45687442548976,0.4093039648702545,85.12562238882848,0.6512257695315491,0.9585122118290457,0.7154036918150893,0.6629192637896798,0.9467409748779388,0.6629192637896798,0.0009693527499296499
7,0.30807353278607813,88.01795456444663,0.4275548648442665,84.6105419790534,0.6864231926340124,0.9589305280532567,0.6987387447201061,0.6784325089418876,0.9443616610170291,0.6784325089418876,0.0009463344797952117
8,0.2944618347833175,88.5790347034035,0.41917309170439293,83.99816860298746,0.6981959293188611,0.9609920303507146,0.6897515373474223,0.7254037097060974,0.9424723570157593,0.7254037097060974,0.0009172768604618339
9,0.2769919528760983,89.23919920732509,0.41624602272997807,84.70211182968008,0.6804545845381667,0.9605212963208718,0.6888893237257344,0.6952591029372193,0.9438664825510736,0.6952591029372193,0.0008825728463831227
10,0.26375552266836166,89.85996872276672,0.45453791478036965,83.59755050649574,0.694407984660795,0.9585470572588933,0.6747696817823516,0.7338203818254753,0.9451393837792941,0.7338203818254753,0.0008426917498153162
11,0.24620082399999824,90.55833442763857,0.4618754903547955,83.44302638356321,0.669230521613082,0.9587436752997928,0.6562834499646619,0.7361519514803123,0.9497725261492957,0.7361519514803123,0.000798172894174115
12,0.22875752116887624,91.15642198001599,0.4640104255373896,83.51742688719739,0.6915310730236557,0.9580599743662187,0.6540190966733929,0.7544531720634226,0.9540786099138858,0.7544531720634226,0.0007496183206106869
13,0.2039270558998785,92.24873756968735,0.47458045657751335,82.61317461225892,0.6769793853667669,0.9545641031004422,0.6511987379259627,0.7291587205761002,0.9454425419727018,0.7291587205761002,0.000697684646437889
