epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_precision,val_recall,val_specificity,val_sensitivity,lr
0,1.6094372276131432,16.227153891150454,1.6094372272491455,13.552337892748811,0.047739529257597904,0.5,0.027104675785497623,0.2,0.8,0.2,0.000332824427480916
1,1.607719934441661,16.227153891150454,1.6094372272491455,13.552337892748811,0.047739529257597904,0.5,0.027104675785497623,0.2,0.8,0.2,0.0006661577608142494
2,1.601271081334762,16.274905392338272,1.6094372272491455,13.552337892748811,0.047739529257597904,0.5,0.027104675785497623,0.2,0.8,0.2,0.0009994910941475827
3,1.5915709981481538,17.693124977616485,1.6094372272491455,13.552337892748811,0.047739529257597904,0.5,0.027104675785497623,0.2,0.8,0.2,0.0009994910941475827
4,1.5824716398734173,20.063987011591678,1.6094372272491455,13.552337892748811,0.047739529257597904,0.5,0.027104675785497623,0.2,0.8,0.2,0.0009961119935382127
5,1.5738833880606498,22.357252856136665,1.6094372272491455,13.552337892748811,0.047739529257597904,0.5,0.027104675785497623,0.2,0.8,0.2,0.0009860203882490518
