"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","device","early_stopping","epochs","experiment_name","gradient_accumulation_steps","label_smoothing","learning_rate","max_grad_norm","mixed_precision","monitor_metric","monitor_mode","n_folds","num_classes","num_workers","optimizer","output_dir","patience","save_best","save_every","scheduler","seed","warmup_epochs","weight_decay","best_accuracy","best_auc","best_epoch","best_f1","epoch","epoch_time_s","final/MCC","final/accuracy","final/auc_roc","final/balanced_accuracy","final/best_epoch","final/cohens_kappa","final/f1_macro","final/f1_weighted","final/precision_macro","final/recall_macro","final/sensitivity","final/specificity","lr","train/acc","train/loss","val/acc","val/auc","val/f1","val/loss","val/precision","val/recall","val/specificity"
"fusion_a_fold0","finished","-","","","2026-03-17T19:01:41.000Z","7143","","128","auto","true","50","fusion_a","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.8201224746752132","0.9332293604229808","18","0.6735022009398157","28","253.24008440971377","0.6983830312478654","0.8201224746752132","0.9332293604229808","0.7158399309799182","18","0.6957141259581254","0.6735022009398157","0.8269985763871919","0.6457804866693138","0.7158399309799182","0.7158399309799182","0.9453215429125972","0.00048304656110863297","99.87823367197106","0.0020756688925230127","81.9092313855663","0.9325254922345334","0.6731636004348959","2.279373005685145","0.6440069665544391","0.7320555744727918","0.9445006657903632"
"quantum_1d_full_RXYZ_fold0","finished","-","","","2026-03-17T17:08:57.000Z","6718","","128","auto","true","50","quantum_1d_full_RXYZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5045498769530132","0.793044475028258","37","0.3959628869937699","47","142.1411452293396","0.28933805846010063","0.5045498769530132","0.793044475028258","0.5033255295668918","37","0.2726375522345388","0.3959628869937699","0.5410648882628077","0.3838730677993657","0.5033255295668918","0.5033255295668918","0.8678524289107411","0.000017756371550433755","58.97310396695596","0.924350046474515","50.077262061466264","0.790130306970568","0.39149084738116846","1.2638004282965278","0.3799779163813159","0.4977328645909312","0.8671589864524855"
"quantum_1d_full_RYZ_fold0","finished","-","","","2026-03-17T15:10:39.000Z","6354","","128","auto","true","50","quantum_1d_full_RYZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.539003033251302","0.8250071832332623","44","0.4451004568995805","50","128.8250687122345","0.3515401957322642","0.539003033251302","0.8250071832332623","0.5578790026744413","44","0.32905973021458623","0.4451004568995805","0.5789428270582728","0.43995463182821304","0.5578790026744413","0.5578790026744413","0.8796333076212985","0.000001115992464154501","62.76099179867967","0.8476997026050364","51.857151033022376","0.8303963139467326","0.4276141410446748","1.152869650264726","0.4210474375077504","0.5466817763176255","0.8745625842219349"
"quantum_1d_full_RXZ_fold0","finished","-","","","2026-03-17T14:11:40.000Z","2817","","128","auto","true","50","quantum_1d_full_RXZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.4633434441710067","0.7276946055446494","12","0.3529165716486756","22","127.56711459159852","0.2262232232090284","0.4633434441710067","0.7276946055446494","0.4600926813952439","12","0.2102876589671696","0.3529165716486756","0.4886281256047937","0.3429682271718145","0.4600926813952439","0.4600926813952439","0.8514556239884069","0.0006793579811330471","48.602671696491456","1.1001480326397728","45.44153837349053","0.7132453814996421","0.33016520310702874","1.3833997968557108","0.3305435717794526","0.44119323640672015","0.8410611345719807"
"quantum_1d_full_RXY_fold0","finished","-","","","2026-03-17T12:13:55.000Z","6361","","128","auto","true","50","quantum_1d_full_RXY","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5456418474217364","0.8318809713039341","45","0.44598932286765225","50","126.21477341651917","0.354817425724379","0.5456418474217364","0.8318809713039341","0.5623765113374767","45","0.33482711044802005","0.44598932286765225","0.5885727495144845","0.4392061562643267","0.5623765113374767","0.5623765113374767","0.8815521205377965","0.000001115992464154501","63.467714016259386","0.8167192549195909","53.94036513477938","0.8309800762316744","0.4311528189221592","1.1589518466787616","0.4469705011687457","0.5483917720855032","0.8757307086087087"
"quantum_1d_full_RZ_fold0","finished","-","","","2026-03-17T11:09:07.000Z","3176","","128","auto","true","50","quantum_1d_full_RZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.46952440908830767","0.7806635850729163","18","0.3668417207454283","28","112.96993136405943","0.2626509460469234","0.46952440908830767","0.7806635850729163","0.48741954835254864","18","0.24112108944258392","0.3668417207454283","0.5012616599892923","0.35985439688573057","0.48741954835254864","0.48741954835254864","0.8613108833146119","0.00048304656110863297","50.321725739252926","1.049898130202111","49.08716305156528","0.7814033842541876","0.3650743938334817","1.2589721893959671","0.3607111023100169","0.48153047737796906","0.8586336839492794"
"quantum_1d_full_RY_fold0","finished","-","","","2026-03-17T09:23:42.000Z","5605","","128","auto","true","50","quantum_1d_full_RY","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5291020431522921","0.8251017532408282","45","0.43357225963828905","50","112.34671187400818","0.3326108232388082","0.5291020431522921","0.8251017532408282","0.5365978426018959","45","0.3122944514895817","0.43357225963828905","0.5677830035969179","0.422067645249882","0.5365978426018959","0.5365978426018959","0.8763944058173252","0.000001115992464154501","61.675838934186494","0.8630339743526837","52.423739483774966","0.825781749934379","0.4271156407780722","1.1665561393882236","0.4124669165374746","0.5411312750615338","0.8744966041757344"
"quantum_1d_full_RX_fold0","finished","-","","","2026-03-17T07:37:38.000Z","5650","","128","auto","true","50","quantum_1d_full_RX","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5365993246723516","0.8166625395435168","43","0.41832907820814674","50","112.65163135528564","0.3253530785759599","0.5365993246723516","0.8166625395435168","0.532071326438007","43","0.30877024475677706","0.41832907820814674","0.56933995650233","0.4077655227495054","0.532071326438007","0.532071326438007","0.8749768012039383","0.000001115992464154501","59.78607327467857","0.892604413833327","53.53974703828764","0.8208531589803328","0.4145840473650105","1.1844988364155276","0.4033303841036626","0.528678174532934","0.8735508180375321"
"quantum_1d_ring_RXYZ_fold0","finished","-","","","2026-03-17T06:17:48.000Z","4073","","128","auto","true","50","quantum_1d_ring_RXYZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5354547015395181","0.7911928363577745","29","0.4187962321340219","39","103.71437430381776","0.2997196780214927","0.5354547015395181","0.7911928363577745","0.5072572811326366","29","0.2890141398760103","0.4187962321340219","0.5670685526385402","0.40252849590093903","0.5072572811326366","0.5072572811326366","0.868853562351829","0.00015232622698397016","56.71207038571275","0.9516694236347694","50.94717564241973","0.8093298324662612","0.4127070320291244","1.2077510412374552","0.3931667076548694","0.5215675908327313","0.871734968506799"
"quantum_1d_ring_RYZ_fold0","finished","-","","","2026-03-17T04:53:40.000Z","4330","","128","auto","true","50","quantum_1d_ring_RYZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5398615006009272","0.8215217812244007","42","0.43574532114194786","50","86.52882719039917","0.3426119132498029","0.5398615006009272","0.8215217812244007","0.5536815989801986","42","0.32352965125611","0.43574532114194786","0.5786081995655304","0.42898310203174467","0.5536815989801986","0.5536815989801986","0.877743030574683","0.000001115992464154501","61.955185216135234","0.8371462665441382","52.92737366222171","0.8254718854463334","0.4306729379925403","1.1780645130542071","0.4270388544028668","0.555614872367628","0.8790396264867468"
