epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_precision,val_recall,val_specificity,val_sensitivity,lr
0,1.3123494122774546,58.226986760896295,1.0493837534076107,67.55565729983402,0.279691673695341,0.699881397310141,0.28760552212934637,0.29582982492523036,0.8355064369127645,0.29582982492523036,0.000332824427480916
1,0.9068697984891994,70.74504279728293,0.8349656774832385,70.6690322211412,0.3157952283706393,0.7745595678750964,0.29057846870454657,0.34995605640770655,0.856121677504265,0.34995605640770655,0.0006661577608142494
2,0.7491922592388764,72.20026979598171,0.6801348480865033,71.21272820923711,0.42963796034730156,0.9005678857334223,0.3972138034436353,0.47810571946297564,0.8740191178976812,0.47810571946297564,0.0009994910941475827
3,0.6254732677954754,75.48318550264423,0.6574575469224122,73.72517598580667,0.531663077505581,0.9053662255747941,0.5048182656981954,0.6266133450837547,0.9093046725575619,0.6266133450837547,0.0009994910941475827
4,0.5683037345190994,78.12861866844939,0.5993481189230062,77.4623705145081,0.5165711047612651,0.9191506969096537,0.6209196498543823,0.48784484243986936,0.8991864357149405,0.48784484243986936,0.0009961119935382127
5,0.5364990059201044,79.32240619814485,0.5593286663511373,78.90459566187833,0.5655965964250222,0.9269359687722357,0.5916835437133036,0.5722969661289626,0.9183643888747101,0.5722969661289626,0.0009860203882490518
6,0.514945168349579,80.31444363532178,0.5326633059630429,78.90459566187833,0.5857117946930075,0.9294684362741237,0.5788103806392008,0.6008478926946332,0.9278307805740662,0.6008478926946332,0.0009693527499296499
7,0.5034260633792585,80.82060954791267,0.5276680487568361,79.87180220912265,0.6010226655761538,0.9347331784997213,0.5556937319382659,0.671770484983895,0.9406766925623515,0.671770484983895,0.0009463344797952117
8,0.49096972437305303,81.26350472142968,0.5346293126905921,80.72454644308361,0.5847446842042052,0.9315602531037216,0.5962635715871845,0.6012144594515052,0.9355458594774635,0.6012144594515052,0.0009172768604618339
9,0.4752606771374477,81.85801091121802,0.49386516110087836,81.73181479997712,0.6033185074428052,0.937970742989801,0.5939912867228918,0.6219598159835511,0.9376403580746013,0.6219598159835511,0.0008825728463831227
10,0.4619480815552573,82.30090608473503,0.5310686039228509,78.60699364734161,0.5809975138692588,0.9358032750383796,0.538207292059522,0.6787649268973859,0.9337308292908512,0.6787649268973859,0.0008426917498153162
11,0.45868461191199206,82.55398904103048,0.49338459310522914,81.68030675899959,0.5999632962871759,0.9351348276650953,0.5999220069442768,0.6040533172042652,0.9290173274362165,0.6040533172042652,0.000798172894174115
12,0.4502719093825071,82.82856017286043,0.48383328454555385,81.77759972529046,0.602740577806542,0.9401381964140156,0.59639233521256,0.6163694343770223,0.9341310927862894,0.6163694343770223,0.0007496183206106869
13,0.4325635851794527,83.51021285231654,0.4681099005532961,82.95656155210897,0.6163235278162181,0.9428624031749766,0.7070280055851962,0.6288105782823938,0.9367297321928106,0.6288105782823938,0.000697684646437889
14,0.4293605789428449,83.68450583165209,0.4854532312193926,81.34264293481371,0.6109090249857806,0.9426766186649601,0.6722162012009452,0.653202330637694,0.9319104911621621,0.653202330637694,0.000643074185507527
15,0.4192190397559232,83.99011543925413,0.4686487312734562,82.15532535912551,0.6048673190848485,0.9446149104641346,0.6320371427853295,0.6223302253431184,0.942579580424564,0.6223302253431184,0.0005865254506203184
16,0.41497955406440123,84.27662444638104,0.466822030389831,83.09391632804899,0.6183469256831925,0.9442123652633164,0.7114848294398652,0.6138134304940126,0.9385324892921325,0.6138134304940126,0.000528803166407169
17,0.40659407866365127,84.56313345350794,0.4559356721974637,82.92222285812396,0.6201342388302078,0.9453992495840045,0.6761762881920413,0.6390702492537653,0.9402352011388828,0.6390702492537653,0.00047068792774041353
18,0.3988428837470426,84.72906992013561,0.45737291421115833,82.7905911978481,0.6318609306224113,0.9478445182867752,0.6815891485663507,0.6342345394783846,0.9354706816211241,0.6342345394783846,0.00041296564352726436
19,0.392394161269865,85.00005968937649,0.4595469679058033,82.5616665712814,0.6343853145551889,0.9479738955779137,0.6789562853315856,0.624092616652329,0.9323522068609413,0.624092616652329,0.0003564169086400556
20,0.38610839199928837,85.4166915372402,0.4494321488224677,83.31139472328736,0.6435436122594835,0.9486293425383543,0.6817844321460941,0.6729893651012026,0.946830699156173,0.6729893651012026,0.00030180644770969354
21,0.38188808715070477,85.56591497845214,0.44466211777316395,82.94511532078064,0.6446460239612012,0.9488993937045958,0.6524723466638654,0.6681851020746038,0.9399068263934677,0.6681851020746038,0.0002498727735368957
22,0.3752170213988719,85.86197428581661,0.4836848643574401,80.68448463343444,0.6327055186283304,0.9467471645961922,0.6412365019078233,0.7033727464337596,0.9446605808630991,0.7033727464337596,0.00020131819997346774
23,0.36718001402061407,86.08640634139935,0.441232406418689,83.47736507754821,0.633477099494675,0.9492755089764955,0.6893654298096653,0.6265470435618326,0.941660235615536,0.6265470435618326,0.0001567993443322665
24,0.3609918730859538,86.37172156099658,0.44455150117839337,83.28277914496653,0.6454696659971169,0.9491538337611093,0.6760092512807211,0.6703607099890656,0.9434091781945078,0.6703607099890656,0.00011691824776445973
25,0.3561628779837193,86.6009287666981,0.43412647162475726,83.64905854747325,0.6556839831191302,0.9510950989787353,0.6817629251148898,0.6751353381144277,0.9458317131339177,0.6751353381144277,8.221423368574889e-05
26,0.3506753823684372,86.76686523332577,0.4460573109940891,83.04813140273565,0.645239480421555,0.9494170954247337,0.6586471849505013,0.6679196121213297,0.9398807223808847,0.6679196121213297,5.315661435237112e-05
27,0.3482686938220308,86.86714338582019,0.43329942139395833,83.54031934985406,0.6506478757460723,0.9510926861145002,0.6715033305325763,0.660662251997716,0.9416502502426018,0.660662251997716,3.0138344217932835e-05
28,0.34568671732003453,87.03188606491817,0.43545731537751037,83.36862587992904,0.6511729113882966,0.9507209485836435,0.6737286343261769,0.662149771423585,0.9409000754425592,0.662149771423585,1.3470705898530797e-05
29,0.3434104734704695,87.1011257416405,0.43795202003560796,83.43158015223487,0.6493753380777025,0.9506660433984259,0.677710552440787,0.6625484685469323,0.9412694788648004,0.6625484685469323,3.379100609369949e-06
