epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_precision,val_recall,val_specificity,val_sensitivity,lr
0,1.1531041130764794,68.67024007067222,0.49322326949042994,82.22972586275968,0.6329210309298803,0.9443788291825908,0.6771470487247068,0.6330700753056073,0.9333263391443237,0.6330700753056073,0.000332824427480916
1,0.41644416264905276,84.12978858022849,0.4615453943392656,83.03668517140731,0.6735659412130885,0.95217458337358,0.6622389561387398,0.7058569383481625,0.9481607855031682,0.7058569383481625,0.0006661577608142494
2,0.35412150962662153,86.36097747322931,0.5274830060827471,80.93630172265782,0.6084997613669377,0.9508055730527876,0.7262085942832306,0.6028274928168127,0.9155954911578373,0.6028274928168127,0.0009994910941475827
3,0.30096864793591827,88.2590996454451,0.43121211372152735,84.86235906827677,0.6606592166841386,0.9556342516181081,0.7070125189689335,0.6570408972722277,0.9469791581141678,0.6570408972722277,0.0009994910941475827
4,0.24870974560275333,90.32077070922917,0.4644492272641102,83.6204429691524,0.6702951888553927,0.957871604047526,0.7081383745982504,0.6461733998361022,0.9345363519164664,0.6461733998361022,0.0009961119935382127
5,0.197646703008022,92.32275239652847,0.502909508227867,83.58038115950323,0.6806489866791068,0.9555094652346744,0.6682945002673392,0.7087301136485552,0.9460868974587372,0.7087301136485552,0.0009860203882490518
6,0.14378679822419435,94.50857736340086,0.5962116419997093,82.97373089910147,0.6504543050386664,0.9549495254082265,0.6989785700365017,0.6212282266528166,0.9312569703513572,0.6212282266528166,0.0009693527499296499
7,0.10227913918499729,96.1046712906037,0.7179356699224806,82.40141933268471,0.6657741353742795,0.9471803876463376,0.6464987314314067,0.7026547458517098,0.9454812791847917,0.7026547458517098,0.0009463344797952117
8,0.07552347688274529,97.18624279250778,0.7267298442821433,83.76352086075659,0.6626357745221505,0.9516216389396404,0.6772845159963957,0.6602281173894171,0.9390128740146583,0.6602281173894171,0.0009172768604618339
9,0.059364183672227476,97.85237623407785,0.7230275118873067,84.01533794997998,0.6836231819992056,0.9513211429573936,0.6860262809925265,0.6849438957627793,0.9414882024212776,0.6849438957627793,0.0008825728463831227
10,0.04387502010115458,98.3955495600893,0.9149696071407873,83.22554798832485,0.6692651503092821,0.9480131550444101,0.6471224463763605,0.7235715704714114,0.9490720837823657,0.7235715704714114,0.0008426917498153162
11,0.03388624577036568,98.75249203146824,0.9212570843035287,82.63606707491559,0.6507818709796263,0.9477203732062506,0.6716180121631439,0.6357423675428604,0.9320187744163766,0.6357423675428604,0.000798172894174115
12,0.026539525492045715,99.05093891389211,0.9891881579465239,83.8493675957191,0.6753108322910059,0.9474709705875519,0.6678176137780412,0.6847739894748901,0.9464858708898932,0.6847739894748901,0.0007496183206106869
13,0.01991723960812936,99.30163429512815,1.0251105115035155,83.85509071138327,0.6775179148492583,0.9505257037941017,0.6822978055734016,0.6729419537420152,0.9423818682620302,0.6729419537420152,0.000697684646437889
14,0.015163872942669701,99.49264029987943,1.086710843291596,83.36290276426487,0.6676851610776081,0.9453638741990588,0.6646173517926701,0.6761334681489131,0.9404687851138085,0.6761334681489131,0.000643074185507527
